"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"PinHeader_1x04_P2.00mm_Vertical";1;"Conn_01x04";;;
2;"J5";"PinHeader_1x09_P2.00mm_Vertical";1;"Conn_01x09";;;
3;"U2";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"MCP2515-xSO";;;
4;"Y1";"ECS80830QVSTR";1;"8 MHz";;;
5;"L1";"Inductor_MSS1048-223";1;"22 µH";;;
6;"U4";"SOT-23-6";1;"MCP16331CH";;;
7;"D1";"DFLS120LQ7";1;"DFLS120LQ-7";;;
8;"C3,C4";"C3225_Commercial";2;"10uF";;;
9;"C7,C6";"CAPC3216X180N";2;"10 uF";;;
10;"R1,R2";"R_0603_1608Metric";2;"10";;;
11;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP2551-I-SN";;;
12;"R3";"R_0603_1608Metric";1;"52.3 ";;;
13;"C2,C1";"C_0603_1608Metric";2;"22 pF";;;
14;"C5";"CAPC1608X90N";1;"100 nF";;;
15;"D2";"SOD3716X145N";1;"1N4148WQ-7-F";;;
16;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATtiny814-SS";;;
